,Sr No,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentnType,AmountUSD,Remarks
575,576,1/9/2017,MFine,Consumer Internet,Online Doctor Discovery platform,Bengaluru,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,"15,00,000",
576,577,1/9/2017,Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,"13,00,000",
577,578,4/9/2017,PrimaryIO,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,"56,00,000",
578,579,5/9/2017,Shubh Loans,Consumer Internet,online lending platform,Bengaluru,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,"15,00,000",
579,580,5/9/2017,Nest Education,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,"6,00,000",
580,581,6/9/2017,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,"1,07,50,000",
581,582,6/9/2017,GoFro,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,"1,00,00,000",
582,583,6/9/2017,OncoStem,Healthcare,Medical Diagnostic Solutions,Bengaluru,"Sequoia Capital India, Artiman Ventures",Private Equity,"60,00,000",
583,584,6/9/2017,Power2SME,eCommerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,"2,60,00,000",
584,585,7/9/2017,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,"50,00,000",
585,586,7/9/2017,Tails Life,Consumer Internet,Pet care portal & mobile app,Bengaluru,V Balakrishnan.,Private Equity,nan,
586,587,7/9/2017,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,"25,00,00,000",
587,588,7/9/2017,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,"7,80,000",
588,589,7/9/2017,MamaEarth,eCommerce,online babycare products marketplace,Gurgaon,Fireside Ventures,Seed Funding,nan,
589,590,7/9/2017,Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,"10,00,000",
590,591,8/9/2017,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",Debt Funding,"69,00,000",
591,592,8/9/2017,Farmizen,Technology,Agre-Tech Mobile app,Bengaluru,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,nan,
592,593,11/9/2017,Ecom Express,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,"3,00,00,000",
593,594,11/9/2017,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,"62,00,000",
594,595,12/9/2017,Sattviko,eCommerce,Health Food etailer,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,nan,
595,596,12/9/2017,3HCare,Consumer Internet,Healthcare services portal,New Delhi,Undisclosed Investors,Seed Funding,"1,00,000",
596,597,12/9/2017,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bengaluru,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,"1,70,00,000",
597,598,12/9/2017,Get My Parking,Consumer Internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,"30,00,000",
598,599,9/13/2017,WittyFeed,Technology,Content marketing platform,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,nan,
599,600,9/13/2017,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bengaluru,"Accel Partners,",Private Equity,"20,00,000",
600,601,9/13/2017,OYO Rooms,Consumer Internet,udget hotel marketplace,Gurgaon,China Lodging Group,Private Equity,"1,00,00,000",
601,602,9/13/2017,Unacademy,Consumer Internet,Online learning platform,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,"1,15,00,000",
602,603,9/13/2017,Heterogenous,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,"7,80,000",
603,604,9/14/2017,Gurukul,Consumer Internet,co-working space provider,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,nan,
604,605,9/14/2017,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,"4,40,00,000",
605,606,9/14/2017,WheelStreet,Consumer Portal,Bike Rental Platform,Bengaluru,Y Combinator,Seed Funding,"1,20,000",
606,607,9/14/2017,Xprep,Consumer Internet,Online Tutoring Platform,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,nan,
607,608,9/18/2017,The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,"10,00,000",
608,609,9/19/2017,Noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bengaluru,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,nan,
609,610,9/19/2017,High Radius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,"5,00,00,000",
610,611,9/20/2017,HWell24 Plus,Healthcare,Technology-Empowered Healthcare Solutions,Mumbai,Undisclosed Investors,Seed Funding,nan,
611,612,9/21/2017,SaveBC,Finance,financial services firm,Gaya,Incofin Investment Management.,Private Equity,"60,00,000",
612,613,9/21/2017,Gaming Monk,Consumer Internet,E-sports platform,New Delhi,AdvantEdge,Private Equity,nan,
613,614,9/21/2017,91SpringBoard,Consumer Internet,Co-working spaces,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,nan,
614,615,9/21/2017,Homergize,eCommerce,Home Furnishing & Building material marketplace,Bengaluru,LG Chandrasekhar,Private Equity,"10,00,000",
615,616,9/22/2017,Yatra.com,eCommerce,Online Travel Agency,Gurgaon,InnoVen Capital India,Debt Funding,"1,54,00,000",
616,617,9/22/2017,Ace Turtle,Technology,Omni-channel web commerce solutions provider,Bengaluru,InnoVen Capital,Private Equity,nan,
617,618,9/25/2017,Vogo,Consumer Internet,Scooter Rental Platform,Bengaluru,AV Thomas Group,Seed Funding,nan,
618,619,9/25/2017,Synup,Technology,SME Marketing Management Solution,Bengaluru,"Vertex Ventures, Prime Venture Partners.",Private Equity,"60,00,000",
619,620,9/25/2017,Tinmen,Consumer Internet,Food Delivery platform,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,nan,
620,621,9/25/2017,Cropin,Technology,Crop Technology Solutions,Bengaluru,Beenext,Private Equity,nan,
621,622,9/25/2017,Rapido,Consumer Internet,Bike Aggregator Mobile App,Bengaluru,Battery Road Digital Holdings LLC,Seed Funding,"4,22,000",
622,623,9/25/2017,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,"1,50,000",
623,624,9/26/2017,Credifiable,Consumer Internet,Online consumer lending platform,Bengaluru,Kae Capital,Private Equity,nan,
624,625,9/26/2017,Inclov,Consumer Internet,Matchmaking app for the differently abled,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,nan,
625,626,9/26/2017,Multibhashi,Consumer Internet,Language learning Mobile App,Bengaluru,"Aniruddha Malpani, Startup Oasis",Seed Funding,nan,
626,627,9/27/2017,Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,"16,00,000",
627,628,9/27/2017,Fashalot,Consumer Internet,O2O fashion discovery platform,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,nan,
628,629,9/27/2017,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bengaluru,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,"10,00,000",
629,630,9/27/2017,GoChoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,Gurgaon,"Rivergate Capital,",Seed Funding,nan,
630,631,9/27/2017,MyUpchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed Funding,"3,00,000",
631,632,9/28/2017,Aadyah,Technology,Defense Tech & Aerospace startup,Bengaluru,Keiretsu Forum,Private Equity,"10,00,000",
632,633,1/8/2017,TouchKin,Technology,Predictive Care Platform,Bengaluru,Kae Capital,Private Equity,"13,00,000",
633,634,2/8/2017,Ethinos,Technology,Digital Marketing Agency,Mumbai,Triton Investment Advisors,Private Equity,nan,
634,635,2/8/2017,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,nan,
635,636,2/8/2017,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,"5,00,000",
636,637,2/8/2017,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,"8,50,000",
637,638,3/8/2017,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,"3,00,000",
638,639,3/8/2017,Skill Connect,Consumer Internet,Recruitment Portal,Jaipur,Rajasthan Angel Investor Network,Seed Funding,nan,
639,640,3/8/2017,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bengaluru,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,nan,
640,641,3/8/2017,Zoctr,Consumer Internet,Health Products & Services Aggregator,Mumbai,SIDBI,Private Equity,nan,
641,642,4/8/2017,Lime Tray,Technology,Restaurant Management Solutions,New Delhi,JSW Ventures,Private Equity,nan,
642,643,4/8/2017,CoutLoot,eCommerce,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,nan,
643,644,4/8/2017,Box My Space,Logistics,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,nan,
644,645,5/8/2017,Curatio,Healthcare,Skincare Speciality services,Chennai,Anicut Capital,Private Equity,nan,
645,646,8/8/2017,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed Investors,Seed Funding,"2,43,000",
646,647,8/8/2017,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,"2,20,000",
647,648,9/8/2017,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,"31,00,000",
648,649,9/8/2017,CroFarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding,"7,83,000",
649,650,9/8/2017,DoodhWala,Consumer Internet,Online milk delivery,Bengaluru,Tom Varkey,Seed Funding,nan,
650,651,10/8/2017,Stayabode,Consumer Internet,Co-Living space aggregator,Bengaluru,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,nan,
651,652,11/8/2017,Flipkart,eCommerce,Online Marketplace,Bengaluru,Softbank,Private Equity,"2,50,00,00,000",
652,653,11/8/2017,Moong Labs,Technology,Mobile games developer,New Delhi,Nazara Games,Private Equity,nan,
653,654,11/8/2017,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,"3,60,00,000",
654,655,8/14/2017,Sports Flashes,Consumer Internet,Sports Content Mobile App,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,nan,
655,656,8/14/2017,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,"3,12,000",
656,657,8/15/2017,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bengaluru,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,"3,85,000",
657,658,8/17/2017,Get Simpl,Consumer Internet,Payment Solution Mobile app,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,nan,
658,659,8/20/2017,Rootefy,eCommerce,Building material online store,New Delhi,"Abhinav Gupta,",Seed Funding,"1,87,000",
659,660,8/21/2017,Uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,"68,00,000",
660,661,8/21/2017,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,"7,34,000",
661,662,8/22/2017,Flochat,Consumer Internet,instant messaging platform,Mumbai,"iSquare Global,",Seed Funding,nan,
662,663,8/22/2017,EasyGov,Consumer Internet,Govt service application portal,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,nan,
663,664,8/23/2017,Milk Basket,Consumer Internet,Online Grocery platform,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,nan,
664,665,8/23/2017,Dhruva,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,"8,00,00,000",
665,666,8/23/2017,Bombay Shaving Company,eCommerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,"23,00,000",
666,667,8/23/2017,Awign,Technology,Operations and manpower outsourcing,Bengaluru,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,nan,
667,668,8/23/2017,Indiez,Technology,Software & Mobile app development platform,Bengaluru,Haresh Chawla,Seed Funding,"5,00,000",
668,669,8/24/2017,Ezetap,Technology,mPOS solutions provider,Bengaluru,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,"1,60,00,000",
669,670,8/25/2017,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,"7,50,000",
670,671,8/25/2017,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bengaluru,"PBS Srinivas, Vinod Martin,",Seed Funding,"1,25,000",
671,672,8/28/2017,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,"70,00,000",
672,673,8/29/2017,CureFit,Consumer Internet,End to End health and wellness platform.,Bengaluru,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,"2,50,00,000",
673,674,8/29/2017,Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,"7,50,000",
674,675,8/29/2017,Fieldassist,Technology,SAAS based sales force automation services,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt Funding,nan,
675,676,8/30/2017,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bengaluru,"Ward Ferry Management and Karst Peak Capital,",Private Equity,"3,40,00,000",
676,677,8/30/2017,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bengaluru,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,"3,00,00,000",
677,678,1/7/2017,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bengaluru,Reliance Corporate Advisory Services Ltd,Seed Funding,"10,00,000",
678,679,3/7/2017,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,"26,00,000",
679,680,4/7/2017,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,"2,00,00,000",
680,681,5/7/2017,Jumbotail,eCommerce,online marketplace for food and grocery,Bengaluru,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,"85,00,000",
681,682,5/7/2017,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,"1,20,00,000",
682,683,5/7/2017,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,"10,00,000",
683,684,6/7/2017,Minjar,Technology,Cloud Solutions provider,Bengaluru,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,nan,
684,685,6/7/2017,MyCity4kids,Consumer Internet,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,Gurgaon,,Seed Funding,nan,
685,686,7/7/2017,Clip App,Consumer Internet,Digital Media Video platform,Bengaluru,"India Quotient, Shunwei Capital",Seed Funding,"10,00,000",
686,687,7/7/2017,Upwardly.in,Consumer Internet,MF investment platform,Bengaluru,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,nan,
687,688,10/7/2017,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,"30,00,000",
688,689,11/7/2017,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,"22,50,000",
689,690,11/7/2017,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,"4,64,000",
690,691,11/7/2017,Design Cafe,Consumer Internet,Online Interior Design platform,Bengaluru,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,nan,
691,692,12/7/2017,Innoviti,Technology,Digital payments solutions,Bengaluru,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,"1,85,00,000",
692,693,12/7/2017,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,nan,
693,694,12/7/2017,Bottr.me,Technology,Chatbot creation tool,Bengaluru,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,nan,
694,695,12/7/2017,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed Funding,nan,
695,696,7/14/2017,QwikSpec,Technology,Construction site operations and analytics platform,Bengaluru,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,"5,40,000",
696,697,7/14/2017,Chumbak,eCommerce,Designer consumer products Marketplace,Bengaluru,Blacksoil Capital Pvt. Ltd,Private Equity,"17,00,000",
697,698,7/17/2017,Increff,Technology,Sales Solutions for Fashion Brands,Bengaluru,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,"20,00,000",
